client_id,company_name,industry,country,company_size,employees,plan,signup_date,is_active,mrr_eur
CLT-000001,Orion Consulting,professional_services,FR,micro,7,pro,2022-06-28,True,212.37
CLT-000002,Alto Trading,retail,DE,small,36,starter,2024-07-08,True,148.46
CLT-000003,Nova Industries,ecommerce,NL,micro,6,starter,2022-07-18,True,85.78
CLT-000004,Prime Solutions,manufacturing,BE,large,453,enterprise,2025-06-20,True,1474.44
CLT-000005,Green Consulting,professional_services,FR,micro,2,starter,2023-07-24,True,86.75
CLT-000006,Blue Group,retail,DE,small,25,pro,2024-12-29,True,262.18
CLT-000007,Swift Labs,retail,AT,small,49,pro,2023-04-15,True,367.82
CLT-000008,Swift Labs,hospitality,FR,small,26,starter,2025-08-09,True,113.3
CLT-000009,Green Services,healthcare,IT,small,24,enterprise,2022-10-11,True,984.62
CLT-000010,Nova Consulting,software_it,FR,small,24,pro,2024-08-16,True,341.71
CLT-000011,Nova Consulting,manufacturing,NL,micro,4,starter,2024-07-18,False,91.53
CLT-000012,Lumen Labs,healthcare,AT,small,10,pro,2024-11-05,True,231.22
CLT-000013,Blue Services,hospitality,CH,mid,127,starter,2024-01-14,True,199.0
CLT-000014,Prime Trading,hospitality,FR,mid,59,starter,2024-12-26,True,135.29
CLT-000015,Aurum Services,manufacturing,FR,small,38,pro,2024-03-28,True,333.97
CLT-000016,Aurum Services,professional_services,ES,micro,4,starter,2022-05-01,True,96.85
CLT-000017,Vertex Consulting,professional_services,ES,small,24,pro,2025-03-26,True,322.97
CLT-000018,Swift Trading,retail,FR,small,14,starter,2025-08-31,True,91.89
CLT-000019,Swift Group,software_it,PT,micro,4,starter,2024-08-05,True,97.37
CLT-000020,Aurum Services,retail,FR,small,27,starter,2024-09-12,True,120.18
CLT-000021,Nova Industries,education,DE,micro,5,starter,2025-02-12,True,87.58
CLT-000022,Green Labs,software_it,FR,small,14,starter,2024-09-03,True,119.32
CLT-000023,Blue Solutions,software_it,AT,micro,5,starter,2022-09-03,True,90.07
CLT-000024,Delta Works,software_it,FR,small,23,starter,2025-10-03,True,108.8
CLT-000025,Swift Industries,professional_services,NL,micro,4,starter,2025-02-27,True,72.68
CLT-000026,Green Services,education,DE,mid,175,starter,2025-01-17,True,199.0
CLT-000027,Orion Services,finance,FR,micro,2,starter,2025-05-23,True,73.69
CLT-000028,Orion Labs,professional_services,ES,mid,94,enterprise,2022-11-27,True,1284.76
CLT-000029,Swift Services,software_it,FR,mid,218,enterprise,2025-04-07,True,1353.93
CLT-000030,Nova Labs,education,DE,large,286,enterprise,2025-09-27,True,1577.73
CLT-000031,Swift Works,hospitality,BE,micro,2,starter,2023-11-12,True,75.52
CLT-000032,Orion Trading,finance,DE,micro,1,starter,2023-09-18,True,82.0
CLT-000033,Green Solutions,ecommerce,NL,micro,3,starter,2025-01-03,True,68.59
CLT-000034,Prime Industries,education,IT,micro,4,starter,2024-06-12,True,85.41
CLT-000035,Swift Works,software_it,FR,small,23,pro,2025-10-05,True,285.6
CLT-000036,Orion Group,retail,IT,micro,7,starter,2023-10-31,True,86.53
CLT-000037,Blue Trading,education,ES,small,45,starter,2025-01-27,True,133.41
CLT-000038,Green Systems,retail,BE,micro,3,starter,2022-12-14,True,75.74
CLT-000039,Orion Works,finance,DE,mid,130,starter,2022-02-20,True,199.0
CLT-000040,Delta Consulting,hospitality,ES,small,28,starter,2022-10-30,True,104.36
CLT-000041,Alto Systems,finance,FR,small,20,pro,2022-09-06,True,315.97
CLT-000042,Orion Services,manufacturing,AT,large,1697,enterprise,2024-10-30,True,2320.41
CLT-000043,Aurum Industries,ecommerce,BE,micro,2,starter,2024-12-03,True,70.94
CLT-000044,Aurum Consulting,professional_services,NL,micro,2,starter,2023-03-15,True,75.41
CLT-000045,Civic Partners,professional_services,ES,small,42,pro,2025-03-25,True,268.96
CLT-000046,Vertex Labs,finance,BE,large,431,enterprise,2025-05-20,True,1528.52
CLT-000047,Prime Systems,ecommerce,ES,small,46,pro,2022-09-19,True,332.94
CLT-000048,Swift Works,software_it,IT,small,13,starter,2024-02-16,True,103.2
CLT-000049,Vertex Systems,education,DE,small,33,pro,2022-04-17,True,294.08
CLT-000050,Orion Consulting,retail,BE,mid,50,pro,2023-03-23,True,306.6
CLT-000051,Vertex Industries,education,IT,small,27,starter,2025-03-31,False,116.4
CLT-000052,Orion Systems,healthcare,DE,micro,5,starter,2023-09-10,True,91.0
CLT-000053,Alto Works,ecommerce,BE,small,18,starter,2024-05-10,True,97.48
CLT-000054,Vertex Partners,ecommerce,NL,small,34,pro,2025-01-07,True,307.82
CLT-000055,Lumen Works,finance,DE,mid,76,pro,2024-02-16,True,364.11
CLT-000056,Vertex Industries,ecommerce,ES,micro,2,pro,2025-02-12,False,265.27
CLT-000057,Alto Trading,manufacturing,BE,mid,166,pro,2022-02-05,True,399.7
CLT-000058,Lumen Trading,manufacturing,DE,small,22,pro,2023-11-09,True,285.92
CLT-000059,Prime Labs,healthcare,DE,micro,4,starter,2023-07-21,True,98.92
CLT-000060,Civic Works,software_it,DE,micro,3,starter,2024-12-29,True,69.09
CLT-000061,Nova Services,education,DE,small,26,starter,2023-08-06,True,120.69
CLT-000062,Blue Solutions,hospitality,DE,micro,2,starter,2025-11-06,False,68.54
CLT-000063,Delta Labs,professional_services,FR,small,19,pro,2024-12-06,True,324.07
CLT-000064,Prime Works,professional_services,AT,small,29,pro,2023-03-02,True,278.95
CLT-000065,Alto Industries,manufacturing,DE,micro,3,starter,2022-03-08,True,87.56
CLT-000066,Lumen Partners,professional_services,FR,micro,6,pro,2023-02-10,True,252.96
CLT-000067,Orion Industries,finance,IE,micro,2,starter,2025-03-11,True,76.25
CLT-000068,Aurum Labs,education,NL,small,21,starter,2024-06-03,True,120.98
CLT-000069,Nova Consulting,retail,DE,mid,117,pro,2023-07-06,True,439.8
CLT-000070,Blue Partners,ecommerce,ES,micro,7,pro,2022-07-06,True,244.88
CLT-000071,Vertex Consulting,professional_services,PT,small,35,starter,2023-10-07,True,115.77
CLT-000072,Swift Services,software_it,PT,mid,106,pro,2025-06-29,True,410.8
CLT-000073,Nova Trading,software_it,DE,micro,7,starter,2025-07-14,True,84.74
CLT-000074,Blue Labs,manufacturing,IT,micro,3,pro,2024-10-17,True,219.16
CLT-000075,Lumen Labs,manufacturing,ES,small,21,starter,2025-05-12,True,131.97
CLT-000076,Alto Labs,finance,BE,micro,5,starter,2023-09-04,True,90.38
CLT-000077,Orion Partners,ecommerce,IE,small,13,starter,2023-10-22,True,122.03
CLT-000078,Green Works,finance,DE,small,17,pro,2024-02-20,True,295.7
CLT-000079,Orion Industries,software_it,ES,small,35,pro,2024-06-20,True,357.01
CLT-000080,Nova Industries,retail,ES,micro,1,starter,2025-11-19,True,62.35
CLT-000081,Vertex Services,professional_services,DE,small,49,enterprise,2022-07-05,True,1032.16
CLT-000082,Orion Consulting,retail,ES,mid,85,starter,2024-12-23,True,184.67
CLT-000083,Blue Industries,retail,FR,small,28,pro,2023-04-21,True,276.27
CLT-000084,Prime Solutions,ecommerce,IE,micro,4,pro,2025-04-18,True,278.88
CLT-000085,Lumen Labs,professional_services,ES,large,495,pro,2025-12-03,True,714.74
CLT-000086,Orion Systems,manufacturing,DE,small,26,pro,2024-10-14,True,339.06
CLT-000087,Green Works,professional_services,PT,micro,1,starter,2025-10-26,True,75.96
CLT-000088,Orion Solutions,ecommerce,DE,small,26,starter,2024-04-30,True,107.72
CLT-000089,Civic Group,hospitality,IT,mid,50,pro,2023-08-28,True,316.02
CLT-000090,Alto Partners,software_it,AT,large,2300,enterprise,2025-02-15,True,2422.49
CLT-000091,Nova Labs,ecommerce,IT,small,29,pro,2024-01-31,True,275.76
CLT-000092,Nova Works,manufacturing,IE,mid,87,enterprise,2025-12-06,True,1214.18
CLT-000093,Blue Solutions,professional_services,CH,small,13,pro,2025-11-27,True,263.03
CLT-000094,Lumen Industries,retail,IE,mid,249,pro,2025-11-14,True,485.54
CLT-000095,Green Group,retail,FR,small,36,starter,2023-01-24,True,154.86
CLT-000096,Aurum Consulting,retail,NL,small,17,pro,2022-05-21,True,285.23
CLT-000097,Delta Trading,professional_services,PT,mid,190,pro,2022-10-24,True,464.58
CLT-000098,Blue Consulting,software_it,NL,micro,5,starter,2022-12-23,True,76.77
CLT-000099,Swift Services,software_it,FR,small,17,starter,2023-03-30,True,93.85
CLT-000100,Orion Services,retail,DE,micro,3,starter,2024-06-27,True,70.07
CLT-000101,Delta Industries,professional_services,FR,small,23,enterprise,2024-12-22,True,1144.12
CLT-000102,Swift Consulting,software_it,BE,small,39,pro,2024-05-30,True,289.6
CLT-000103,Vertex Partners,healthcare,DE,micro,3,pro,2025-11-07,True,201.06
CLT-000104,Alto Consulting,healthcare,ES,small,44,pro,2024-04-21,True,344.78
CLT-000105,Swift Solutions,retail,AT,small,23,pro,2023-04-05,True,277.49
CLT-000106,Civic Group,professional_services,FR,micro,3,starter,2025-06-27,True,85.76
CLT-000107,Nova Works,finance,CH,micro,1,starter,2023-11-27,True,64.86
CLT-000108,Blue Works,software_it,NL,small,22,starter,2022-11-19,True,127.11
CLT-000109,Delta Works,software_it,FR,micro,5,starter,2025-09-17,True,91.2
CLT-000110,Swift Labs,manufacturing,FR,micro,1,starter,2024-12-15,True,61.48
CLT-000111,Swift Works,professional_services,FR,mid,249,pro,2022-09-03,False,536.87
CLT-000112,Blue Industries,healthcare,DE,small,24,pro,2024-05-05,True,284.82
CLT-000113,Vertex Industries,retail,PT,mid,156,pro,2024-12-09,True,489.38
CLT-000114,Lumen Group,healthcare,DE,micro,4,starter,2023-12-17,True,98.39
CLT-000115,Orion Industries,software_it,DE,micro,5,starter,2022-12-29,True,91.82
CLT-000116,Aurum Works,ecommerce,BE,mid,126,pro,2025-07-08,True,402.62
CLT-000117,Aurum Partners,finance,IT,small,19,starter,2022-03-19,True,127.01
CLT-000118,Alto Consulting,manufacturing,IT,small,26,pro,2024-07-10,True,305.34
CLT-000119,Green Group,manufacturing,IT,large,458,enterprise,2022-06-22,True,1377.08
CLT-000120,Green Partners,manufacturing,AT,small,10,starter,2023-11-24,True,84.18
CLT-000121,Orion Group,software_it,FR,small,12,pro,2025-05-19,True,252.64
CLT-000122,Delta Industries,professional_services,IE,small,24,pro,2022-06-23,True,281.97
CLT-000123,Vertex Industries,finance,NL,small,28,pro,2024-05-17,True,251.99
CLT-000124,Prime Industries,ecommerce,CH,mid,75,pro,2024-11-05,True,405.38
CLT-000125,Civic Solutions,hospitality,NL,small,23,starter,2025-11-19,True,132.07
CLT-000126,Blue Partners,ecommerce,FR,small,49,starter,2023-05-05,True,162.02
CLT-000127,Aurum Trading,education,DE,large,567,pro,2024-12-16,True,569.07
CLT-000128,Green Works,professional_services,FR,small,39,starter,2024-11-22,True,127.21
CLT-000129,Blue Labs,manufacturing,ES,mid,194,pro,2024-02-05,True,538.79
CLT-000130,Vertex Trading,education,FR,mid,191,starter,2023-08-11,True,199.0
CLT-000131,Blue Partners,software_it,ES,micro,1,starter,2025-05-31,True,63.11
CLT-000132,Prime Trading,software_it,DE,small,31,starter,2024-10-20,True,107.66
CLT-000133,Civic Works,software_it,DE,small,24,starter,2025-09-22,True,121.7
CLT-000134,Vertex Consulting,manufacturing,CH,mid,110,enterprise,2022-03-31,True,1492.56
CLT-000135,Prime Solutions,software_it,DE,micro,4,starter,2023-11-12,True,80.78
CLT-000136,Vertex Industries,retail,PT,large,584,pro,2024-07-26,True,583.62
CLT-000137,Green Solutions,professional_services,DE,small,33,starter,2025-08-17,True,124.73
CLT-000138,Nova Group,finance,DE,small,19,enterprise,2023-11-26,True,1129.74
CLT-000139,Aurum Group,manufacturing,CH,mid,133,pro,2023-01-05,True,391.31
CLT-000140,Alto Group,professional_services,NL,small,18,starter,2022-03-28,True,128.49
CLT-000141,Delta Systems,education,DE,mid,50,pro,2025-10-23,True,280.89
CLT-000142,Delta Partners,software_it,FR,mid,93,pro,2025-05-24,True,375.37
CLT-000143,Vertex Group,software_it,ES,micro,3,starter,2022-08-21,True,73.01
CLT-000144,Civic Systems,software_it,IE,mid,134,pro,2025-11-22,True,416.29
CLT-000145,Alto Industries,ecommerce,PT,mid,105,pro,2023-10-17,True,421.15
CLT-000146,Civic Services,professional_services,DE,micro,6,starter,2024-01-11,True,78.89
CLT-000147,Green Industries,manufacturing,DE,small,24,enterprise,2022-09-23,True,982.78
CLT-000148,Prime Systems,healthcare,AT,small,49,starter,2023-10-12,True,144.07
CLT-000149,Orion Services,hospitality,DE,mid,125,enterprise,2024-06-05,True,1462.34
CLT-000150,Alto Services,software_it,FR,micro,5,pro,2023-08-05,True,224.35
CLT-000151,Orion Services,retail,DE,small,10,pro,2025-04-04,True,276.54
CLT-000152,Lumen Works,hospitality,DE,micro,3,starter,2025-06-19,True,81.72
CLT-000153,Orion Services,education,DE,small,42,starter,2022-05-30,True,123.82
CLT-000154,Swift Partners,ecommerce,ES,micro,6,pro,2023-12-09,True,217.75
CLT-000155,Vertex Services,professional_services,IT,small,17,starter,2023-08-18,True,125.02
CLT-000156,Swift Trading,hospitality,AT,mid,82,enterprise,2024-08-14,True,1165.23
CLT-000157,Nova Consulting,manufacturing,CH,large,381,pro,2024-10-10,True,630.14
CLT-000158,Orion Partners,software_it,DE,micro,2,starter,2024-04-05,True,75.23
CLT-000159,Delta Services,manufacturing,FR,micro,4,starter,2025-06-30,True,74.0
CLT-000160,Alto Systems,education,DE,small,19,pro,2024-04-02,True,240.24
CLT-000161,Blue Group,manufacturing,PT,micro,6,starter,2025-06-16,True,84.39
CLT-000162,Vertex Services,manufacturing,PT,small,10,starter,2025-10-11,True,96.54
CLT-000163,Prime Solutions,professional_services,IT,small,21,pro,2024-02-18,True,306.33
CLT-000164,Nova Works,software_it,CH,micro,3,starter,2024-04-20,True,84.89
CLT-000165,Aurum Solutions,manufacturing,NL,small,20,starter,2025-10-16,True,124.19
CLT-000166,Orion Labs,professional_services,IT,micro,4,pro,2023-09-02,True,257.73
CLT-000167,Lumen Partners,ecommerce,DE,mid,150,starter,2025-10-17,True,199.0
CLT-000168,Swift Group,finance,CH,micro,2,starter,2024-06-24,True,84.45
CLT-000169,Green Trading,professional_services,PT,small,18,pro,2023-05-06,True,298.62
CLT-000170,Civic Trading,software_it,IT,small,25,pro,2022-01-11,True,344.57
CLT-000171,Blue Systems,hospitality,NL,small,33,starter,2023-08-08,True,149.4
CLT-000172,Alto Works,healthcare,DE,mid,74,enterprise,2022-03-16,True,1192.13
CLT-000173,Aurum Industries,education,CH,mid,116,enterprise,2023-08-06,True,1351.12
CLT-000174,Civic Partners,software_it,IE,small,10,starter,2024-07-28,True,106.79
CLT-000175,Nova Group,manufacturing,BE,mid,111,pro,2023-01-14,True,395.29
CLT-000176,Green Solutions,professional_services,DE,mid,181,pro,2022-01-24,True,430.51
CLT-000177,Green Solutions,ecommerce,NL,micro,6,pro,2024-01-23,True,225.27
CLT-000178,Blue Partners,healthcare,FR,small,19,starter,2025-01-05,True,126.77
CLT-000179,Green Works,software_it,IE,small,25,pro,2022-05-07,True,336.98
CLT-000180,Green Works,software_it,IT,mid,95,pro,2024-09-28,True,385.16
CLT-000181,Nova Partners,ecommerce,FR,small,24,starter,2022-02-14,True,133.78
CLT-000182,Lumen Trading,software_it,IT,micro,2,starter,2025-08-15,True,74.53
CLT-000183,Swift Partners,hospitality,IE,small,31,starter,2025-08-31,True,112.17
CLT-000184,Civic Systems,healthcare,IT,micro,2,starter,2024-12-25,True,70.68
