ticket_id,csat_score,response_date
TCK-0000001,5,2024-11-17
TCK-0000002,2,2024-08-13
TCK-0000003,5,2024-12-09
TCK-0000004,4,2024-09-16
TCK-0000005,5,2024-03-02
TCK-0000007,3,2024-02-08
TCK-0000008,5,2024-11-28
TCK-0000010,4,2024-07-08
TCK-0000013,4,2024-12-02
TCK-0000015,5,2024-05-12
TCK-0000017,4,2024-11-06
TCK-0000020,5,2024-11-05
TCK-0000021,4,2024-12-12
TCK-0000022,4,2024-08-28
TCK-0000024,5,2024-12-08
TCK-0000025,4,2024-04-18
TCK-0000027,3,2024-06-19
TCK-0000029,2,2024-04-07
TCK-0000030,4,2024-07-14
TCK-0000031,3,2024-08-04
TCK-0000032,4,2024-07-05
TCK-0000033,4,2024-10-12
TCK-0000034,4,2024-03-28
TCK-0000035,1,2024-12-09
TCK-0000036,3,2024-02-22
TCK-0000037,5,2024-08-13
TCK-0000041,2,2024-06-05
TCK-0000042,5,2024-11-01
TCK-0000043,2,2024-09-24
TCK-0000048,4,2024-04-18
TCK-0000050,4,2024-01-03
TCK-0000051,4,2024-12-26
TCK-0000052,3,2024-12-13
TCK-0000056,4,2024-04-22
TCK-0000057,3,2024-02-02
TCK-0000058,4,2024-11-15
TCK-0000061,4,2024-03-19
TCK-0000062,5,2024-11-22
TCK-0000063,5,2024-08-13
TCK-0000064,5,2024-03-09
TCK-0000065,4,2024-12-21
TCK-0000066,5,2024-01-07
TCK-0000067,5,2024-12-18
TCK-0000068,4,2024-03-02
TCK-0000069,2,2024-02-09
TCK-0000070,4,2024-11-22
TCK-0000071,5,2024-08-17
TCK-0000075,5,2024-02-23
TCK-0000079,1,2024-01-05
TCK-0000080,5,2024-03-23
TCK-0000082,5,2024-05-27
TCK-0000083,5,2024-07-29
TCK-0000085,4,2024-11-21
TCK-0000086,3,2024-11-21
TCK-0000089,4,2024-07-17
TCK-0000090,2,2024-05-25
TCK-0000092,4,2024-05-15
TCK-0000094,4,2024-04-21
TCK-0000095,4,2024-06-22
TCK-0000097,4,2024-03-30
TCK-0000098,3,2024-06-07
TCK-0000099,5,2024-05-19
TCK-0000100,4,2024-05-23
TCK-0000103,4,2024-10-09
TCK-0000104,5,2024-02-05
TCK-0000105,4,2024-02-23
TCK-0000107,1,2024-03-10
TCK-0000109,1,2024-03-30
TCK-0000111,5,2024-04-04
TCK-0000113,3,2024-09-13
TCK-0000114,2,2024-08-25
TCK-0000115,4,2024-02-13
TCK-0000117,2,2024-11-28
TCK-0000119,4,2024-01-15
TCK-0000121,4,2024-11-07
TCK-0000122,2,2024-07-22
TCK-0000123,2,2024-07-21
TCK-0000125,4,2024-03-27
TCK-0000126,3,2025-01-03
TCK-0000127,5,2024-06-10
TCK-0000129,2,2024-11-22
TCK-0000131,5,2024-03-05
TCK-0000133,3,2024-10-05
TCK-0000134,5,2024-09-14
TCK-0000136,2,2024-06-11
TCK-0000137,4,2024-11-14
TCK-0000138,3,2024-08-07
TCK-0000140,5,2024-10-23
TCK-0000141,5,2024-09-05
TCK-0000142,4,2024-04-17
TCK-0000143,5,2024-06-02
TCK-0000148,4,2024-02-25
TCK-0000149,2,2024-02-28
TCK-0000150,4,2024-07-28
TCK-0000151,5,2024-10-21
TCK-0000152,4,2024-08-30
TCK-0000153,4,2024-03-26
TCK-0000154,5,2024-06-14
TCK-0000156,4,2024-05-12
TCK-0000159,4,2024-06-02
TCK-0000160,4,2024-02-20
TCK-0000162,5,2024-06-12
TCK-0000163,4,2024-12-24
TCK-0000165,4,2024-01-17
TCK-0000167,5,2024-08-31
TCK-0000171,4,2024-04-26
TCK-0000172,4,2024-05-25
TCK-0000175,5,2024-05-23
TCK-0000176,4,2024-08-20
TCK-0000177,3,2024-08-28
TCK-0000179,5,2024-03-05
TCK-0000181,3,2024-04-19
TCK-0000182,4,2024-09-24
TCK-0000184,5,2025-01-02
TCK-0000187,5,2024-04-17
TCK-0000188,5,2024-02-12
TCK-0000189,4,2024-05-10
TCK-0000190,5,2024-02-14
TCK-0000191,1,2024-10-28
TCK-0000192,4,2024-02-02
TCK-0000194,5,2024-10-22
TCK-0000195,4,2024-01-12
TCK-0000196,4,2024-07-13
TCK-0000197,3,2024-08-25
TCK-0000199,1,2024-02-02
TCK-0000200,4,2024-01-13
TCK-0000201,4,2024-07-18
TCK-0000203,3,2024-03-25
TCK-0000204,1,2024-06-05
TCK-0000205,4,2024-07-30
TCK-0000208,4,2024-12-01
TCK-0000209,1,2024-11-06
TCK-0000210,3,2024-02-03
TCK-0000215,5,2024-06-27
TCK-0000216,3,2024-08-10
TCK-0000217,4,2024-02-17
TCK-0000219,4,2024-11-20
TCK-0000221,1,2024-12-05
TCK-0000223,5,2024-05-25
TCK-0000225,5,2024-10-15
TCK-0000226,2,2024-10-20
TCK-0000227,3,2024-11-15
TCK-0000228,3,2024-07-05
TCK-0000230,5,2024-10-21
TCK-0000233,4,2024-10-24
TCK-0000234,4,2024-01-05
TCK-0000236,1,2024-01-15
TCK-0000238,5,2024-01-14
TCK-0000239,4,2024-12-24
TCK-0000240,5,2024-08-10
TCK-0000241,4,2024-11-11
TCK-0000242,5,2024-06-20
TCK-0000243,5,2024-12-19
TCK-0000244,4,2024-10-26
TCK-0000245,5,2024-12-29
TCK-0000246,4,2024-06-25
TCK-0000248,5,2024-10-07
TCK-0000249,4,2024-06-26
TCK-0000250,5,2024-09-02
TCK-0000251,4,2024-11-08
TCK-0000252,2,2024-10-25
